name: Minor Rune of the Wurm	 price: 78.4	 eladodbszam: 753	 mennyivesznek: 813
name: Crystal Shard	 price: 76.3	 eladodbszam: 927	 mennyivesznek: 1765
name: Berserker's Feathered Gloves	 price: 73.5	 eladodbszam: 212	 mennyivesznek: 368
name: Strong Worn Scale Pauldrons of the Lich	 price: 70.0	 eladodbszam: 501	 mennyivesznek: 0
name: Pile of Crystalline Dust	 price: 68.6	 eladodbszam: 3558	 mennyivesznek: 27955
name: Honed Axe of Fire	 price: 68.6	 eladodbszam: 920	 mennyivesznek: 0
name: Berserker's Feathered Boots	 price: 66.5	 eladodbszam: 137	 mennyivesznek: 134
name: Plate of Truffle Steak Dinner	 price: 66.5	 eladodbszam: 1851	 mennyivesznek: 1530
name: Pile of Soiled Essence	 price: 65.1	 eladodbszam: 3175	 mennyivesznek: 3397
name: Destroyer Sliver	 price: 62.3	 eladodbszam: 1359	 mennyivesznek: 2710
name: Carrion Glyphic Axe of Earth	 price: 60.9	 eladodbszam: 209	 mennyivesznek: 106
name: Malign Steam Short Bow of Agony	 price: 60.9	 eladodbszam: 478	 mennyivesznek: 6
name: Minor Rune of the Warrior	 price: 57.4	 eladodbszam: 779	 mennyivesznek: 1918
name: Cleric's Sword of Peril	 price: 55.3	 eladodbszam: 183	 mennyivesznek: 167
name: Carrion Glyphic Handblade	 price: 53.2	 eladodbszam: 388	 mennyivesznek: 0
name: Resilient Embroidered Mask	 price: 51.1	 eladodbszam: 193	 mennyivesznek: 47
name: Mighty Swindler Pauldrons of the Rata Sum	 price: 50.4	 eladodbszam: 1569	 mennyivesznek: 37
name: Mighty Magician Boots of Hoelbrak	 price: 50.4	 eladodbszam: 1022	 mennyivesznek: 173
name: Minor Sigil of Speed	 price: 49.0	 eladodbszam: 334	 mennyivesznek: 1910
name: Rampager's Mace of the Hydromancer	 price: 49.0	 eladodbszam: 254	 mennyivesznek: 95
name: Vigorous Scale Pauldrons	 price: 47.6	 eladodbszam: 107	 mennyivesznek: 81
name: Cleric's Axe of Smoldering	 price: 47.6	 eladodbszam: 159	 mennyivesznek: 106
name: Carrion Mithril Shield	 price: 46.9	 eladodbszam: 103	 mennyivesznek: 38
name: Shaman's Shiverpeak Club of Earth	 price: 46.9	 eladodbszam: 192	 mennyivesznek: 95
name: Carrion Steam Gizmo of Earth	 price: 46.2	 eladodbszam: 184	 mennyivesznek: 111
name: Rampager's Sword of the Hydromancer	 price: 45.5	 eladodbszam: 96	 mennyivesznek: 98
name: Mighty Worn Scale Gauntlets of Flame Legion	 price: 45.5	 eladodbszam: 650	 mennyivesznek: 57
name: Traveler's Orrian Shield of Earth	 price: 44.8	 eladodbszam: 465	 mennyivesznek: 187
name: Carrion Glyphic Brand of Earth	 price: 44.8	 eladodbszam: 184	 mennyivesznek: 2
name: Mighty Worn Scale Pauldrons of the Rata Sum	 price: 43.4	 eladodbszam: 900	 mennyivesznek: 32
name: Bowl of Curry Butternut Squash Soup	 price: 43.4	 eladodbszam: 4813	 mennyivesznek: 4511
name: Explorer's Mithril Shield	 price: 42.7	 eladodbszam: 81	 mennyivesznek: 34
name: Valkyrie Mithril Shield	 price: 39.9	 eladodbszam: 139	 mennyivesznek: 37
name: Berserker's Pistol of Hobbling	 price: 39.9	 eladodbszam: 331	 mennyivesznek: 94
name: Rampager's Pistol of Accuracy	 price: 39.2	 eladodbszam: 345	 mennyivesznek: 103
name: Rampager's Shield of Debility	 price: 39.2	 eladodbszam: 298	 mennyivesznek: 103
name: Rampager's Mithril Shield	 price: 39.2	 eladodbszam: 155	 mennyivesznek: 34
name: Major Sigil of Fire	 price: 38.5	 eladodbszam: 987	 mennyivesznek: 715
name: Shaman's Shiverpeak Shield of Earth	 price: 38.5	 eladodbszam: 235	 mennyivesznek: 280
name: Banana Dye	 price: 38.5	 eladodbszam: 1108	 mennyivesznek: 566
name: Shaman's Shiverpeak Club	 price: 37.8	 eladodbszam: 79	 mennyivesznek: 443
name: Berserker's Shield of Agony	 price: 37.8	 eladodbszam: 248	 mennyivesznek: 97
name: Mighty Bronze Sword	 price: 37.8	 eladodbszam: 2078	 mennyivesznek: 2369
name: Rampager's Shield of the Geomancer	 price: 37.1	 eladodbszam: 262	 mennyivesznek: 104
name: Traveler's Orrian Scepter of Earth	 price: 37.1	 eladodbszam: 495	 mennyivesznek: 101
name: Rampager's Torch of Earth	 price: 37.1	 eladodbszam: 244	 mennyivesznek: 98
name: Berserker's Mace of Accuracy	 price: 36.4	 eladodbszam: 273	 mennyivesznek: 98
name: Carrion Steam Mace of Earth	 price: 36.4	 eladodbszam: 217	 mennyivesznek: 109
name: Mighty Superior Studded Gloves	 price: 36.4	 eladodbszam: 426	 mennyivesznek: 180
name: Resilient Krytan Sword	 price: 36.4	 eladodbszam: 1141	 mennyivesznek: 1723
name: Shaman's Shiverpeak Handcannon of Earth	 price: 36.4	 eladodbszam: 232	 mennyivesznek: 3
name: Shaman's Shiverpeak Talisman of Earth	 price: 35.7	 eladodbszam: 284	 mennyivesznek: 111
name: Carrion Steamcaller of Earth	 price: 35.0	 eladodbszam: 105	 mennyivesznek: 10
name: Rampager's Focus of Hobbling	 price: 35.0	 eladodbszam: 310	 mennyivesznek: 96
name: Major Sigil of Energy	 price: 33.6	 eladodbszam: 400	 mennyivesznek: 3279
name: Resilient Krytan Sword	 price: 33.6	 eladodbszam: 918	 mennyivesznek: 21
name: Silt Dye	 price: 33.6	 eladodbszam: 621	 mennyivesznek: 1898
name: Cavalier's Glyphic Scepter	 price: 33.6	 eladodbszam: 90	 mennyivesznek: 18
name: Traveler's Krytan Torch of Earth	 price: 32.9	 eladodbszam: 178	 mennyivesznek: 8
name: Cavalier's Glyphic Icon	 price: 32.9	 eladodbszam: 95	 mennyivesznek: 17
name: Shaman's Shiverpeak Wand of Earth	 price: 32.9	 eladodbszam: 181	 mennyivesznek: 206
name: Berserker's Mace of Venom	 price: 32.9	 eladodbszam: 167	 mennyivesznek: 27
