name: Berserker's Conjurer Gloves of Hoelbrak	 price: 667.8	 eladodbszam: 63	 mennyivesznek: 15
name: Cleric's Dagger of Ogre Slaying	 price: 666.4	 eladodbszam: 27	 mennyivesznek: 198
name: Rampager's Pistol of Peril	 price: 662.9	 eladodbszam: 102	 mennyivesznek: 76
name: Explorer's Krait Pilum	 price: 662.2	 eladodbszam: 51	 mennyivesznek: 40
name: Traveler's Orrian Axe of Air	 price: 656.6	 eladodbszam: 85	 mennyivesznek: 334
name: Explorer's Krait Trident	 price: 654.5	 eladodbszam: 55	 mennyivesznek: 61
name: Strong Banded Greaves	 price: 653.1	 eladodbszam: 69	 mennyivesznek: 49
name: Shaman's Norn Short Bow of Air	 price: 636.3	 eladodbszam: 206	 mennyivesznek: 43
name: Shaman's Norn Blade of Air	 price: 630.7	 eladodbszam: 124	 mennyivesznek: 266
name: Cleric's Axe of Perception	 price: 630.7	 eladodbszam: 85	 mennyivesznek: 158
name: Rampager's Krait Shell	 price: 630.0	 eladodbszam: 13	 mennyivesznek: 29
name: Cleric's Mace of Chilling	 price: 630.0	 eladodbszam: 104	 mennyivesznek: 77
name: Explorer's Krait Battleaxe	 price: 630.0	 eladodbszam: 96	 mennyivesznek: 52
name: Cleric's Spear of Chilling	 price: 629.3	 eladodbszam: 141	 mennyivesznek: 88
name: Embellished Brilliant Ruby Jewel	 price: 628.6	 eladodbszam: 256	 mennyivesznek: 288
name: Traveler's Aureate Trident of Air	 price: 628.6	 eladodbszam: 134	 mennyivesznek: 78
name: Carrion Verdant Bow of Air	 price: 626.5	 eladodbszam: 106	 mennyivesznek: 265
name: Explorer's Krait Star	 price: 625.1	 eladodbszam: 123	 mennyivesznek: 63
name: Berserker's Short Bow of Energy	 price: 623.7	 eladodbszam: 83	 mennyivesznek: 91
name: Rampager's Banded Coat of Infiltration	 price: 622.3	 eladodbszam: 66	 mennyivesznek: 110
name: Berserker's Conjurer Chest of Rage	 price: 620.2	 eladodbszam: 119	 mennyivesznek: 131
name: Charged Core	 price: 618.8	 eladodbszam: 872	 mennyivesznek: 1355
name: Berserker's Short Bow of Peril	 price: 615.3	 eladodbszam: 463	 mennyivesznek: 75
name: Rampager's Speargun of Debility	 price: 607.6	 eladodbszam: 67	 mennyivesznek: 60
name: Rampager's Focus of Venom	 price: 595.7	 eladodbszam: 103	 mennyivesznek: 84
name: Superior Sigil of Frailty	 price: 595.7	 eladodbszam: 320	 mennyivesznek: 71
name: Strong Banded Pauldrons	 price: 592.9	 eladodbszam: 122	 mennyivesznek: 26
name: Strong Cabalist Gloves of Lyssa	 price: 592.2	 eladodbszam: 101	 mennyivesznek: 110
name: Rampager's Mace of Smoldering	 price: 591.5	 eladodbszam: 130	 mennyivesznek: 79
name: Magi's Verdant Pistol	 price: 581.7	 eladodbszam: 50	 mennyivesznek: 13
name: Traveler's Aureate Mace of Air	 price: 580.3	 eladodbszam: 74	 mennyivesznek: 54
name: Carrion Verdant Speargun of Air	 price: 578.2	 eladodbszam: 161	 mennyivesznek: 88
name: Carrion Flame Trident of Air	 price: 576.8	 eladodbszam: 136	 mennyivesznek: 74
name: Rampager's Short Bow of Grawl Slaying	 price: 574.7	 eladodbszam: 349	 mennyivesznek: 160
name: Coral Platinum Earring of the Rampager	 price: 572.6	 eladodbszam: 54	 mennyivesznek: 14
name: Carrion Amulet	 price: 572.6	 eladodbszam: 212	 mennyivesznek: 110
